zipcode,price,bedrooms,bathrooms,sqft_living,city,state,county
10013.0,3999000.0,2.0,3.0,1967.0,New York,New York,New York
10013.0,3999000.0,2.0,3.0,1967.0,New York,New York,New York
10014.0,1650000.0,1.0,1.0,718.0,New York,New York,New York
10014.0,760000.0,3.0,2.0,1538.0,New York,New York,New York
10014.0,1100000.0,1.0,1.0,600.0,New York,New York,New York
10017.0,764900.0,1.0,1.0,643.0,New York,New York,New York
10021.0,2499000.0,2.0,2.0,1471.0,New York,New York,New York
10022.0,4580000.0,2.0,3.0,1800.0,New York,New York,New York
10026.0,540000.0,2.0,1.0,750.0,New York,New York,New York
10026.0,570000.0,1.0,1.0,589.0,New York,New York,New York
10026.0,699999.0,3.0,1.0,1200.0,New York,New York,New York
10026.0,380000.0,1.0,1.0,650.0,New York,New York,New York
10028.0,725000.0,1.0,1.0,950.0,New York,New York,New York
10030.0,899000.0,2.0,1.0,825.0,New York,New York,New York
10034.0,180000.0,1.0,1.0,615.0,New York,New York,New York
10036.0,1150000.0,1.0,1.0,832.0,New York,New York,New York
10128.0,665000.0,1.0,1.0,780.0,New York,New York,New York
10128.0,685000.0,1.0,1.0,625.0,New York,New York,New York
10301.0,950000.0,6.0,2.0,1920.0,Staten Island,New York,Richmond
10301.0,750000.0,4.0,2.0,1853.0,Staten Island,New York,Richmond
10301.0,2490000.0,24.0,10.0,7200.0,Staten Island,New York,Richmond
10301.0,1148888.0,4.0,3.0,1980.0,Staten Island,New York,Richmond
10301.0,998000.0,3.0,1.0,2288.0,Staten Island,New York,Richmond
10301.0,849000.0,4.0,2.0,2511.0,Staten Island,New York,Richmond
10301.0,575000.0,2.0,1.0,1200.0,Staten Island,New York,Richmond
10301.0,575000.0,2.0,1.0,1200.0,Staten Island,New York,Richmond
10301.0,225000.0,2.0,1.0,800.0,Staten Island,New York,Richmond
10301.0,579999.0,4.0,3.0,1644.0,Staten Island,New York,Richmond
10301.0,525000.0,3.0,2.0,1476.0,Staten Island,New York,Richmond
10301.0,260000.0,1.0,1.0,596.0,Staten Island,New York,Richmond
10301.0,699999.0,6.0,2.0,2039.0,Staten Island,New York,Richmond
10301.0,998000.0,5.0,3.0,2288.0,Staten Island,New York,Richmond
10301.0,658888.0,3.0,1.0,1692.0,Staten Island,New York,Richmond
10301.0,689900.0,3.0,2.0,1486.0,Staten Island,New York,Richmond
10301.0,490000.0,7.0,2.0,2256.0,Staten Island,New York,Richmond
10301.0,950000.0,6.0,2.0,1920.0,Staten Island,New York,Richmond
10302.0,865000.0,5.0,1.0,1182.0,Staten Island,New York,Richmond
10302.0,585000.0,2.0,2.0,1008.0,Staten Island,New York,Richmond
10302.0,1199999.0,3.0,4.0,3033.0,Staten Island,New York,Richmond
10302.0,548000.0,4.0,1.0,1544.0,Staten Island,New York,Richmond
10302.0,680000.0,5.0,3.0,2816.0,Staten Island,New York,Richmond
10302.0,649900.0,4.0,2.0,2156.0,Staten Island,New York,Richmond
10302.0,1199999.0,3.0,4.0,3033.0,Staten Island,New York,Richmond
10303.0,799000.0,4.0,3.0,1872.0,Staten Island,New York,Richmond
